"","gbs","Name","geno","class","Type","c","N109","good.geno","good.pheno","good.photo","gps","HT","WD","HE","LT","BM","HM","HI","BS","BU","HC","HD","CL","RR","BR","HS","HU","HR","OQ","FC","MT","FF","F50","MF50","Name","Source","PI","Release.Collection","maturity","Lat","Long","Calabrese.F1","Violet.Caul","Calabrese.LR","Sprouting.Broccoli","subpop","groupCol","PC1","PC2","PC3","PC4","PC5"
"15","B004_HKT721_A3_DuraPak19_F1","B004.DuraPak19","B004","italica","F1",",","y","y","y","y","n",34.29,75.438,4,0,620.2,120.9,19.4937117059013,1.18,5,5,66.2,25.5,19,5,4,4,5,4,0,135,135,165,30,"DuraPak 19","Syngenta","",2014,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.7659235,-4.826126,6.159838,7.265085,-6.9630346
"16","B004_HKT721_A3_DuraPak19_F1","B004.DuraPak19","B004","italica","F1",",","y","y","y","y","n",41.402,76.962,3,3,673.7,133.5,19.8159418138637,1.46,4,4,77.3,27.8,22.2,5,3,4,4,4,0,123,148,155,32,"DuraPak 19","Syngenta","",2014,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.7659235,-4.826126,6.159838,7.265085,-6.9630346
"17","B004_HKT721_A3_DuraPak19_F1","B004.DuraPak19","B004","italica","F1",",","y","y","y","y","n",42.418,70.612,3,1,426.1,103.3,24.243135414222,1.42,3,4,70.7,39.7,17.3,5,2,2,3,3,0,120,139,143,23,"DuraPak 19","Syngenta","",2014,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.7659235,-4.826126,6.159838,7.265085,-6.9630346
"18","B004_HKT721_A3_DuraPak19_F1","B004.DuraPak19","B004","italica","F1",",","y","y","y","y","n",46.482,100.33,3,0,1261.3,287.9,22.825656069135,1.5,5,5,132.4,72.1,17.5,5,3,5,5,5,0,112,148,154,42,"DuraPak 19","Syngenta","",2014,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.7659235,-4.826126,6.159838,7.265085,-6.9630346
"19","B011_HKT721_A6_Gypsy_F1","B011.Gypsy","B011","italica","F1",",","y","y","n","y","n",45.212,76.962,4,0,744.2,121.5,16.3262563826928,1.7,4,3,66.8,20,15.9,5,3,3,4,4,0,110,127,131,21,"Gypsy","Sakata","",2002,"early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.839397,-5.037738,5.788833,6.6626387,-4.3956966
"20","B011_HKT721_A6_Gypsy_F1","B011.Gypsy","B011","italica","F1",",","y","y","n","y","n",55.626,55.88,4,1,408.6,92.8,22.7116984826236,1.3,3,5,83.2,35.1,17.1,5,2,3,3,3,0,108,129,133,25,"Gypsy","Sakata","",2002,"early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.839397,-5.037738,5.788833,6.6626387,-4.3956966
"21","B011_HKT721_A6_Gypsy_F1","B011.Gypsy","B011","italica","F1",",","y","y","n","y","n",48.768,69.596,4,0,496,78.3,15.7862903225806,1.36,2,4,61.9,30,18.1,4,2,3,4,3,0,114,127,137,23,"Gypsy","Sakata","",2002,"early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.839397,-5.037738,5.788833,6.6626387,-4.3956966
"22","B011_HKT721_A6_Gypsy_F1","B011.Gypsy","B011","italica","F1",",","y","y","n","y","n",48.26,69.596,4,1,582.7,120.8,20.7310794576969,1.6,3,4,71.4,32.8,18.7,5,2,3,4,3,0,96,115,119,23,"Gypsy","Sakata","",2002,"early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.839397,-5.037738,5.788833,6.6626387,-4.3956966
"23","B011_HKT721_A6_Gypsy_F1","B011.Gypsy","B011","italica","F1",",","y","y","n","y","n",51.308,75.692,3,0,655.8,115.9,17.6730710582495,1.8,2,4,74.5,29.1,17.8,4,3,4,3,3,0,96,113,115,19,"Gypsy","Sakata","",2002,"early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.839397,-5.037738,5.788833,6.6626387,-4.3956966
"24","B011_HKT721_A6_Gypsy_F1","B011.Gypsy","B011","italica","F1",",","y","y","n","y","n",48.26,79.248,3,3,744.8,113.8,15.2792696025779,1.64,4,5,66,30.9,25.5,5,2,3,4,3,0,103,116,120,17,"Gypsy","Sakata","",2002,"early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.839397,-5.037738,5.788833,6.6626387,-4.3956966
