trial,geno,rep,unique,sc,MT,FF,F50,MF50,HT,WD,BM,LT,HM,HI,HD,CL,RR,BS,BR,BU,HC,HE,HS,HU,HR,OQ,FC,note.geno,note.plot
0,B005,2,D10_row-2_rep-GBS2_E,3,77,NA,NA,NA,46.228,39.37,292,0,77.9,26.6780821917808,67.8,24.3,21.1,1.36,5,3,4,4,3,3,4,4,NA,not enough plants,no plants for flowering 
0,B006,1,A05_row-1_rep-GBS1_E,4,82,126,129,47,37.084,45.212,465,0,113,24.3010752688172,56.2,26,24.4,1.06,3,3,5,3,2,2,3,2,0,no notes,
0,B006,2,D11_row-2_rep-GBS2_E,2,91,115,121,30,35.052,50.546,350.5,0,87,24.8216833095578,57,22.9,13.4,1.52,2,1,5,3,2,1,2,1,0,no notes,
0,B011,1,A06_row-1_rep-GBS1_E,5,75,98,100,25,43.688,78.232,651.5,6,124,19.0330007674597,79.2,37.2,19.9,1.76,5,3,5,3,3,4,4,3,0,some slow heading,
0,B011,2,D12_row-2_rep-GBS2_E,1,73,NA,NA,NA,49.53,82.804,1195.6,7,141.7,11.8517898962864,64.5,36.8,16.7,1.62,5,3,5,4,2,4,3,2,NA,some slow heading,
1,B011,1,B011_row-3_rep-1_E,11,110,127,131,21,45.212,76.962,744.2,0,121.5,16.3262563826928,66.8,20,15.9,1.7,5,4,3,4,3,3,4,4,0,some slow heading,
1,B011,2,B011_row-9_rep-2_W,11,108,129,133,25,55.626,55.88,408.6,1,92.8,22.7116984826236,83.2,35.1,17.1,1.3,5,3,5,4,2,3,3,3,0,some slow heading,
1,B011,3,B011_row-13_rep-3_W,7,114,127,137,23,48.768,69.596,496,0,78.3,15.7862903225806,61.9,30,18.1,1.36,4,2,4,4,2,3,4,3,0,some slow heading,
2,B011,1,B011_row-19_rep-1_E,8,96,115,119,23,48.26,69.596,582.7,1,120.8,20.7310794576969,71.4,32.8,18.7,1.6,5,3,4,4,2,3,4,3,0,some slow heading,slow heading? 
2,B011,2,B011_row-26_rep-2_W,8,96,113,115,19,51.308,75.692,655.8,0,115.9,17.6730710582495,74.5,29.1,17.8,1.8,4,2,4,3,3,4,3,3,0,some slow heading,
2,B011,3,B011_row-27_rep-3_E,9,103,116,120,17,48.26,79.248,744.8,3,113.8,15.2792696025779,66,30.9,25.5,1.64,5,4,5,3,2,3,4,3,0,some slow heading,
0,B013,1,A07_row-1_rep-GBS1_E,6,72,74,78,6,39.624,82.296,750.3,0,150,19.9920031987205,71.5,35.7,20.8,1.5,5,4,4,3,3,4,5,4,0,no notes,
0,B013,2,E01_row-2_rep-GBS2_E,4,68,91,96,28,32.512,75.692,898.2,2,211.8,23.5804943219773,111.7,52.3,29.5,1.82,5,3,5,3,3,3,4,3,0,no notes,
1,B013,1,B013_row-3_rep-1_E,10,105,129,131,26,39.37,43.942,576.5,0,137,23.7640936686904,71.9,38.1,14.7,1.48,5,3,5,3,3,3,4,3,0,no notes,
1,B013,2,B013_row-12_rep-2_E,10,109,127,131,22,46.228,52.578,425,2,112,26.3529411764706,83.8,39.9,20.1,1,5,2,4,3,2,3,3,3,0,no notes,
1,B013,3,B013_row-16_rep-3_E,8,106,125,127,21,31.242,81.788,661.6,3,125.9,19.0296251511487,57.2,36.1,21.7,1.72,4,2,4,2,2,3,3,3,0,no notes,
2,B013,1,B013_row-19_rep-1_E,10,100,111,115,15,38.608,75.946,428.4,0,114.1,26.6339869281046,75,33.3,18.8,1.12,5,4,4,3,3,4,4,4,0,no notes,
2,B013,2,B013_row-25_rep-2_W,11,96,108,113,17,37.846,83.566,662.9,0,205.3,30.969980389199,93.2,52.8,37.3,1.82,5,3,4,2,3,3,5,4,0,no notes,
2,B013,3,B013_row-30_rep-3_W,9,96,106,109,13,38.608,74.676,494.8,0,141.6,28.6176232821342,79.7,42.9,25.8,1.62,5,4,4,3,4,5,5,4,0,no notes,
0,B014,1,A08_row-1_rep-GBS1_E,5,72,74,76,4,40.894,69.596,653.2,6,145.6,22.2902633190447,73.6,36.5,19.6,1.74,5,4,5,3,3,3,4,4,0,no notes,
0,B014,2,E02_row-2_rep-GBS2_E,4,74,101,103,29,41.402,78.994,772.7,7,146.8,18.9983175876796,81.3,35.2,18.3,1.4,3,3,5,3,3,4,3,4,0,no notes,
1,B014,1,B014_row-3_rep-1_E,10,102,120,125,23,40.386,75.692,590,0,150.8,25.5593220338983,93,42.7,25.4,1.6,4,4,5,3,3,4,4,4,0,no notes,
1,B014,2,B014_row-13_rep-2_W,11,101,114,124,23,37.338,66.802,564.4,0,134.5,23.830616583983,76,37.7,26,1.48,4,2,5,3,2,3,3,3,0,no notes,
1,B014,3,B014_row-15_rep-3_E,12,108,128,131,23,39.624,77.216,596.4,5,129.1,21.6465459423206,71.4,27.7,17.8,1.76,4,2,5,3,2,3,3,3,0,no notes,
2,B014,1,B014_row-19_rep-1_E,12,100,116,119,19,40.132,83.566,658.7,10,176.8,26.8407469257629,77,40,23.1,1.36,2,4,4,3,3,4,5,4,0,no notes,
2,B014,2,B014_row-24_rep-2_E,12,97,113,119,22,40.132,77.724,532.6,10,139.7,26.2298159969959,69.6,35,19.9,1.44,5,3,4,3,2,3,4,3,0,no notes,
2,B014,3,B014_row-29_rep-3_W,12,95,114,116,21,39.37,72.39,581.9,5,131.1,22.5296442687747,57.7,31.4,15.8,1.84,5,3,4,2,3,3,4,3,0,no notes,
0,B015,2,F01_row-2_rep-GBS2_E,4,95,112,115,20,55.626,64.008,935.5,17,129.4,13.8321753073223,72,37.7,8.9,2.28,4,1,4,4,1,1,2,1,0,"extreme lats, irregular heading and flowering",extreme lats
1,B015,1,B015_row-3_rep-1_E,11,123,133,137,14,52.832,72.898,818.9,9,123.8,15.1178410062279,79,44,22.2,1.66,4,1,5,4,2,1,1,1,0,"extreme lats, irregular heading and flowering",
1,B015,2,B015_row-9_rep-2_W,10,130,147,161,31,49.53,67.31,927.8,11,108.4,11.6835524897607,73.4,34.7,15.1,1.38,4,2,4,3,1,1,1,1,0,"extreme lats, irregular heading and flowering",extreme lats
1,B015,3,B015_row-18_rep-3_W,11,138,147,169,31,56.896,60.198,659.5,19,128.4,19.4692949203942,74.3,41.5,16.9,1.12,5,4,5,4,2,2,3,2,0,"extreme lats, irregular heading and flowering","extreme lats, irregular flowering and heading "
2,B015,1,B015_row-19_rep-1_E,8,112,128,140,28,43.434,85.852,1145.7,10,183.8,16.0425940473073,79.5,47.1,33.9,1.34,5,4,5,3,4,3,4,3,0,"extreme lats, irregular heading and flowering",extreme lats
2,B015,2,B015_row-25_rep-2_W,12,112,131,140,28,44.45,70.866,890.3,11,134.4,15.0960350443671,81.1,41.9,24,1.2,5,4,5,4,2,3,3,3,0,"extreme lats, irregular heading and flowering",extreme lats
2,B015,3,B015_row-30_rep-3_W,11,117,131,142,25,55.118,72.136,703.7,8,138,19.6106295296291,89.3,45.4,25.1,1.62,5,2,5,4,2,2,3,2,0,"extreme lats, irregular heading and flowering",
0,B016,2,E06_row-2_rep-GBS2_E,4,78,29,NA,NA,41.656,62.23,407.3,3,121,29.7078320648171,73.2,28.3,18.9,1.624,4,2,3,3,2,2,1,1,0,"very early flowering, some flowering irregularities",some flowered early 2/5
1,B016,1,B016_row-3_rep-1_E,6,72,52,74,2,21.082,44.196,184.3,4,NA,NA,63,34.7,4.8,NA,5,3,3,3,3,3,NA,1,0,"very early flowering, some flowering irregularities",irregular flowering.  
1,B016,2,B016_row-11_rep-2_E,7,72,60,75,3,NA,NA,168,4,NA,NA,99.7,61.6,11.4,0.98,5,3,3,3,2,3,NA,1,0,"very early flowering, some flowering irregularities",early irregular floweribg
1,B016,3,B016_row-16_rep-3_E,12,72,60,72,NA,19.05,35.052,62.1,1,NA,NA,43.4,23.9,5.6,1.94,5,2,3,3,3,2,NA,1,0,"very early flowering, some flowering irregularities",early irregular flowering 
2,B016,1,B016_row-19_rep-1_E,3,68,99,105,37,26.162,45.72,209,0,87.5,41.866028708134,76.5,31.8,16.5,NA,2,1,3,2,2,1,1,1,0,"very early flowering, some flowering irregularities",
2,B016,2,B016_row-23_rep-2_E,4,81,105,105,24,35.052,40.894,428.6,0,90.9,21.2085860942604,74.7,41.4,14.1,1.3,5,4,4,3,3,2,2,2,0,"very early flowering, some flowering irregularities",
2,B016,3,B016_row-28_rep-3_E,3,87,99,107,20,31.242,65.278,473.1,0,130.1,27.4994715704925,76.3,37.6,14,0.88,NA,NA,5,2,2,2,1,1,0,"very early flowering, some flowering irregularities",
0,B017,1,A09_row-1_rep-GBS1_E,6,67,NA,107,40,37.338,70.612,816.2,1,NA,NA,93.3,38.5,17.7,1.44,5,4,3,3,2,2,3,3,0,some stunting,
0,B017,2,E03_row-2_rep-GBS2_E,5,70,72,82,12,37.338,69.85,578.6,0,113,19.5298997580366,69,29.3,21.2,0.98,5,5,4,3,2,4,4,3,0,some stunting,
1,B017,1,B017_row-4_rep-1_E,12,96,105,120,24,38.1,87.884,852,0,198.4,23.2863849765258,105.3,48.2,39.3,2.18,5,4,4,3,3,4,4,4,0,some stunting,
1,B017,2,B017_row-12_rep-2_E,12,100,108,117,17,35.306,57.658,438.9,0,98.8,22.5108225108225,75.3,34.8,18.7,1.36,5,4,3,3,2,2,4,3,0,some stunting,
1,B017,3,B017_row-18_rep-3_W,9,97,114,121,24,36.068,65.786,588,0,120.3,20.4591836734694,80.9,27.6,14.9,1.12,4,5,4,3,2,3,4,3,0,some stunting,
2,B017,1,B017_row-20_rep-1_E,11,99,105,112,13,31.242,56.896,374.1,0,94.6,25.2873563218391,73.3,33.5,14.7,1.8,5,4,3,4,3,4,4,3,0,some stunting,stunted front of plot
2,B017,2,B017_row-23_rep-2_E,12,88,101,104,16,35.306,56.896,321.1,0,75.8,23.606353161009,50.6,35.2,16,1.86,5,4,4,3,2,4,4,3,0,some stunting,
2,B017,3,B017_row-30_rep-3_W,12,93,101,105,12,37.592,80.01,865.6,0,201.1,23.2324399260628,103.8,35.4,35.3,1.92,5,4,4,3,3,4,5,4,0,some stunting,
0,B021,1,A10_row-1_rep-GBS1_E,3,92,109,113,21,60.452,49.276,549.9,0,124.1,22.5677395890162,72.7,28.4,23.1,1.46,5,4,3,4,3,4,4,4,0,no notes,
0,B047,1,A11_row-1_rep-GBS1_E,5,61,71,75,14,45.72,87.63,1256.3,6,250.1,19.9076653665526,129.4,58,17.3,2.46,5,5,4,3,3,4,4,4,0,no notes,
1,B047,1,B047_row-4_rep-1_E,7,87,108,114,27,34.798,90.17,753,5,NA,NA,46.5,60.7,17.7,2.36,5,4,4,4,3,4,5,4,0,no notes,
1,B047,2,B047_row-12_rep-2_E,6,99,108,113,14,37.592,58.42,323.5,0,63.4,19.5981452859351,52.9,23.5,15.1,1.4,4,5,3,4,2,2,3,3,0,no notes,
1,B047,3,B047_row-18_rep-3_W,5,94,102,112,18,34.544,67.056,597.6,2,114.2,19.1097724230254,91.5,35.9,17,1.96,5,3,2,4,2,2,3,2,0,no notes,
2,B047,1,B047_row-20_rep-1_E,6,87,97,99,12,31.75,79.248,540.7,3,130,24.042907342334,66.5,36.8,18.6,1.8,5,4,3,4,2,3,4,3,0,no notes,
2,B047,2,B047_row-23_rep-2_E,6,86,99,105,19,40.132,65.532,477.2,0,99.4,20.8298407376362,76.7,35.6,20,2.08,5,3,3,4,1,2,4,3,0,no notes,
2,B047,3,B047_row-32_rep-3_E,7,83,98,99,16,32.258,72.136,527.6,1,102.7,19.4655041698256,70.8,29.9,15.5,1.9,5,3,2,3,1,3,4,3,0,no notes,
0,B093,1,B01_row-1_rep-GBS1_E,5,84,101,126,42,80.772,74.676,717.4,24,46.6,6.49567884025648,35.1,17.5,14.8,1.66,4,4,2,4,2,4,4,3,0,irregular heading and flowering,
1,B093,1,B093_row-4_rep-1_E,5,128,154,162,34,58.42,69.596,284.8,0,37.6,13.2022471910112,35,16.2,13.2,1.88,3,2,2,4,1,1,2,1,0,irregular heading and flowering,late flowering 
1,B093,2,B093_row-12_rep-2_E,6,144,175,191,47,69.342,64.77,527.1,13,57.5,10.9087459685069,52,21,19.6,1.5,5,1,2,5,2,1,2,2,0,irregular heading and flowering,slow irregular flowering! 
1,B093,3,B093_row-14_rep-3_E,6,111,127,166,55,52.832,76.962,756.5,12,72.2,9.54395241242565,56.7,24,29.5,2.84,3,3,2,4,2,1,2,2,0,irregular heading and flowering,
2,B093,1,B093_row-20_rep-1_E,5,107,142,170,63,41.91,75.692,708.1,12,104.8,14.8001694675893,73.4,41.1,23.7,1.88,4,2,4,4,2,3,3,3,0,irregular heading and flowering,irregular heading and flowering 
2,B093,2,B093_row-23_rep-2_E,6,108,119,140,32,36.83,98.298,670.5,6,101.9,15.1976137211037,63.2,29.4,15.7,2.46,2,1,3,3,1,2,2,1,0,irregular heading and flowering,
2,B093,3,B093_row-30_rep-3_W,5,119,119,138,19,51.816,91.948,512.9,0,56.1,10.9378046402808,48.8,21.8,16.1,1.84,5,3,2,3,2,2,4,2,0,irregular heading and flowering,irregular maturity and flowering 
0,B094,1,B02_row-1_rep-GBS1_E,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,irregular heading and flowering,
1,B094,1,B094_row-4_rep-1_E,8,193,NA,NA,NA,56.642,66.294,399.8,15,49,12.256128064032,35,15,11.3,3.28,4,2,2,3,3,2,3,2,NA,irregular heading and flowering,irregular heading and flowering. one head ready oct 29th
1,B094,2,B094_row-9_rep-2_W,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,irregular heading and flowering,
1,B094,3,B094_row-17_rep-3_W,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,irregular heading and flowering,
2,B094,1,B094_row-20_rep-1_E,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,irregular heading and flowering,
2,B094,2,B094_row-26_rep-2_W,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,irregular heading and flowering,
2,B094,3,B094_row-31_rep-3_E,12,NA,148,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,irregular heading and flowering,irregular heading and flowering 
0,B095,1,B03_row-1_rep-GBS1_E,5,112,NA,NA,NA,54.61,67.056,1058.4,13,112.2,10.6009070294785,36.2,13.7,21.2,1.38,2,3,1,4,2,1,1,1,NA,irregular heading and flowering,seems like a oddball? 
1,B095,1,B095_row-4_rep-1_E,10,108,127,157,49,49.022,57.658,274.9,12,51.4,18.6977082575482,37.2,20.6,7.3,1.4,1,3,1,4,2,2,2,1,0,irregular heading and flowering,
1,B095,2,B095_row-10_rep-2_W,10,133,143,162,29,58.928,62.738,692.8,11,107.8,15.5600461893764,53.2,22.7,20.7,1.8,2,3,4,4,3,3,3,2,0,irregular heading and flowering,"very susceptible, stunted, late flowering "
1,B095,3,B095_row-17_rep-3_W,11,142,125,169,27,62.23,80.772,903.6,18,88.6,9.80522355024347,44.6,18.5,10.9,1.22,3,4,3,3,2,2,3,2,0,irregular heading and flowering,variable maturity irregular heading and flowering 
2,B095,1,B095_row-20_rep-1_E,7,119,140,155,36,51.562,72.39,601.7,12,88.2,14.6584676749211,71,27.5,25.6,1.3,3,2,3,4,1,1,2,2,0,irregular heading and flowering,
2,B095,2,B095_row-26_rep-2_W,9,115,123,147,32,50.8,57.912,286.8,4,45.8,15.9693165969317,28.7,12.5,8.3,1,3,4,2,4,2,2,3,1,0,irregular heading and flowering,"irregular heading and flowering , slow? "
2,B095,3,B095_row-30_rep-3_W,9,112,120,158,46,60.96,74.676,588.2,12,63.2,10.7446446786807,52.5,19.4,12.3,1.76,5,3,2,5,2,2,3,2,0,irregular heading and flowering,irregular heading and flowering. one early flowering 
0,B096,1,B04_row-1_rep-GBS1_E,4,74,97,99,25,46.736,69.85,1090.1,23,158.1,14.503256581965,97.6,43.2,17.9,1.86,1,3,3,3,2,1,3,2,0,irregular heading and flowering, extreme lats
1,B096,1,B096_row-4_rep-1_E,11,111,121,130,19,35.052,77.47,594.3,6,121.1,20.37691401649,44.2,25.7,17.1,1.86,4,4,4,4,3,2,4,2,0,irregular heading and flowering, extreme lats
1,B096,2,B096_row-10_rep-2_W,10,106,109,139,33,39.878,57.15,353.8,10,57.1,16.1390616167326,43.5,18.3,11.9,1.96,5,4,4,3,3,4,4,3,0,irregular heading and flowering, extreme lats
1,B096,3,B096_row-18_rep-3_W,7,108,127,140,32,33.528,78.994,787.5,7,112.9,14.3365079365079,65.3,27.2,14.2,1.94,3,3,2,3,3,2,3,2,0,irregular heading and flowering, extreme lats
2,B096,1,B096_row-20_rep-1_E,7,100,99,114,14,43.942,65.278,485.4,7,83.4,17.1817058096415,64.8,29.8,21.3,1.56,3,2,3,3,2,2,3,2,0,irregular heading and flowering, extreme lats
2,B096,2,B096_row-25_rep-2_W,8,101,99,159,58,41.656,83.82,723.4,7,122.3,16.9062759192701,73.4,29.6,19.2,2.3,NA,1,4,3,2,2,3,2,0,irregular heading and flowering," extreme lats,irregular flowering and heading  "
2,B096,3,B096_row-29_rep-3_W,7,106,119,139,33,54.61,63.5,572.5,5,117.7,20.5589519650655,84.7,32.6,27.8,2.06,5,3,3,4,2,3,4,3,0,irregular heading and flowering," extreme lats,irregular flowering and heading  "
0,B097,1,B05_row-1_rep-GBS1_E,3,117,128,132,15,47.244,62.23,351.9,9,62.2,17.6754759874964,40.9,20,10.9,1.56,5,3,3,3,3,4,4,3,0,irregular heading and flowering,
1,B097,1,B097_row-4_rep-1_E,10,118,127,138,20,46.736,55.88,306.4,5,67,21.8668407310705,40.9,21.9,19.7,1.48,1,3,3,3,1,1,1,2,0,irregular heading and flowering,
1,B097,2,B097_row-7_rep-2_E,10,109,127,139,30,56.134,71.882,531.6,7,98.9,18.6042136945071,40.1,18.9,7.6,1.28,1,2,2,4,0,1,1,1,0,irregular heading and flowering,
1,B097,3,B097_row-18_rep-3_W,9,112,115,150,38,38.1,68.072,567,16,57.9,10.2116402116402,49.1,25.6,13.4,1.8,5,4,2,4,2,2,4,3,0,irregular heading and flowering,highly variable germplasm
2,B097,1,B097_row-20_rep-1_E,4,107,119,133,26,42.672,79.756,771.4,14,157.6,20.4303863106041,57.8,25.4,15.7,0.92,2,4,4,3,2,2,2,1,0,irregular heading and flowering,slow? 
2,B097,2,B097_row-28_rep-2_E,3,106,120,147,41,44.704,88.392,NA,7,154.6,NA,63,24.3,16.8,1.32,2,3,5,3,2,2,1,1,0,irregular heading and flowering,"irregular heading and flowering, front of plot maybe stunted "
2,B097,3,B097_row-29_rep-3_W,4,115,123,154,39,49.276,76.454,477.2,0,102.3,21.4375523889355,65.1,28.5,16.4,1.26,5,3,2,3,2,2,4,2,0,irregular heading and flowering,irregular heading and flowering 
0,B098,1,B06_row-1_rep-GBS1_E,4,162,NA,NA,NA,50.292,74.168,892.6,0,139.2,15.5948913287027,83,33.6,23.2,NA,5,1,5,3,3,2,3,1,NA,romancesco? ,romancesco? 
1,B098,1,B098_row-4_rep-1_E,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
1,B098,2,B098_row-11_rep-2_E,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
1,B098,3,B098_row-17_rep-3_W,5,192,NA,NA,NA,48.768,90.17,941.9,0,113,11.9970272852744,65.7,37.1,19.4,NA,5,5,5,2,5,4,NA,3,NA,romancesco? ,
2,B098,1,B098_row-20_rep-1_E,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
2,B098,2,B098_row-26_rep-2_W,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
2,B098,3,B098_row-30_rep-3_W,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
0,B099,1,B07_row-1_rep-GBS1_E,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,romancesco? 
1,B099,1,B099_row-3_rep-1_E,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
1,B099,2,B099_row-9_rep-2_W,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
1,B099,3,B099_row-18_rep-3_W,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
2,B099,1,B099_row-19_rep-1_E,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
2,B099,2,B099_row-26_rep-2_W,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
2,B099,3,B099_row-30_rep-3_W,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
0,B100,1,B08_row-1_rep-GBS1_E,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,romancesco? 
1,B100,1,B100_row-3_rep-1_E,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
1,B100,2,B100_row-10_rep-2_W,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
1,B100,3,B100_row-15_rep-3_E,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,botrytis? strange leaves
2,B100,1,B100_row-19_rep-1_E,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
2,B100,2,B100_row-27_rep-2_E,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
2,B100,3,B100_row-28_rep-3_E,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,romancesco? ,
0,B101,1,B09_row-1_rep-GBS1_E,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,diseased?,not flowering disease? 
1,B101,1,B101_row-3_rep-1_E,1,114,116,126,12,46.736,81.28,925.3,15,144.9,15.6597860153464,40,13.2,18.5,1.8,1,2,1,2,0,1,1,1,0,diseased?,
1,B101,2,B101_row-9_rep-2_W,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,diseased?,single plant no grow point 
1,B101,3,B101_row-15_rep-3_E,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,diseased?,
2,B101,1,B101_row-19_rep-1_E,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,diseased?,
2,B101,2,B101_row-25_rep-2_W,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,diseased?,
2,B101,3,B101_row-28_rep-3_E,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,diseased?,
0,B102,1,B10_row-1_rep-GBS1_E,5,81,99,103,22,54.102,75.692,663.3,1,135,20.3527815468114,59.3,32.2,24.3,2.1,3,3,3,3,2,2,2,2,0,irregular heading and flowering,
1,B102,1,B102_row-3_rep-1_E,9,109,147,154,45,49.276,61.468,532.7,3,83.1,15.5997747324948,43.7,21.9,12.1,1.7,1,4,3,4,2,1,2,2,0,irregular heading and flowering,
1,B102,2,B102_row-8_rep-2_E,9,108,135,165,57,50.292,62.484,686.1,10,44.9,6.54423553417869,36.7,12.8,19,0.7,1,3,1,4,0,1,1,1,0,irregular heading and flowering,
1,B102,3,B102_row-15_rep-3_E,8,130,135,172,42,41.656,59.69,390.9,8,113.3,28.9843949859299,51.6,25.4,14.4,1.82,2,4,1,3,1,2,2,1,0,irregular heading and flowering,
2,B102,1,B102_row-19_rep-1_E,7,125,126,140,15,66.04,80.264,552.1,6,98.8,17.8953088208658,61.7,25.9,14.1,1.76,5,3,2,5,3,3,4,2,0,irregular heading and flowering,
2,B102,2,B102_row-25_rep-2_W,8,118,131,147,29,53.34,74.676,505.5,3,67.7,13.3926805143422,50.4,25.8,14.3,1.18,4,3,3,4,2,3,4,2,0,irregular heading and flowering,irregular heading and flowering 
2,B102,3,B102_row-29_rep-3_W,8,114,119,139,25,51.562,86.614,606,0,124.2,20.4950495049505,46.6,20.7,22.8,1.24,2,2,1,3,2,1,1,1,0,irregular heading and flowering,irregular heading and flowering 
0,B103,1,B11_row-1_rep-GBS1_E,4,87,97,106,19,71.628,76.454,763.3,14,55.5,7.27105987161011,48.4,24.9,18.6,2.56,4,4,2,4,3,3,4,3,0,irregular heading and flowering,
1,B103,1,B103_row-3_rep-1_E,9,111,120,152,41,64.77,73.66,499.1,4,58.7,11.7611701061911,58.9,28.7,13.9,2.3,3,4,3,5,2,2,4,2,0,irregular heading and flowering,
1,B103,2,B103_row-10_rep-2_W,10,128,142,185,57,72.644,82.042,650.2,0,64.9,9.98154414026454,56,26.9,21.2,2.64,5,2,3,5,2,2,4,3,0,irregular heading and flowering,irregular heading and flowering 
1,B103,3,B103_row-16_rep-3_E,9,125,127,145,20,59.436,55.88,585.7,21,35.4,6.04404985487451,35.3,22.7,18.7,2.4,3,3,2,4,3,1,2,2,0,irregular heading and flowering,
2,B103,1,B103_row-19_rep-1_E,9,123,124,147,24,63.246,107.442,980.2,16,57.8,5.89675576412977,34.2,12.8,10.6,2,5,3,2,4,3,3,4,2,0,irregular heading and flowering,irregular heading and flowering 
2,B103,2,B103_row-28_rep-2_E,9,109,118,149,40,66.548,83.82,350.5,0,32.7,9.32952924393723,39.4,19.5,11,1.68,4,4,2,4,3,2,3,2,0,irregular heading and flowering,irregular heading and flowering 
2,B103,3,B103_row-27_rep-3_E,9,116,113,140,24,57.15,113.03,1042.2,9,51.6,4.951065054692,39.7,16.2,13.9,1.86,4,3,2,3,3,3,4,2,0,irregular heading and flowering,irregular heading and flowering 
