"","gbs","short.name","geno","class","cross.type","c","N109","good.geno","good.pheno","good.photo","gps","HT","WD","HE","LT","BM","HM","HI","BS","BU","HC","HD","CL","RR","BR","HS","HU","HR","OQ","FC","MT","FF","F50","MF50","Name","SOURCE","PI","release","maturity","Lat","Long","Calabrese.F1","Violet.Caul","Calabrese.LR","Sprouting.Broccoli","subpop","groupCol","PC1","PC2","PC3","PC4","PC5"
"80","B191_HKT723_B3_Waltham_29_OP","B191.Waltham29","B191","italica","LR",",","y","y","y","y","n",33.9936666666667,71.5433333333333,4.5,16,612.833333333333,44.4833333333333,7.88614017925316,1.95333333333333,2.33333333333333,2.16666666666667,48.0833333333333,21.5333333333333,14.4333333333333,4.16666666666667,2.66666666666667,2.16666666666667,3.5,2.16666666666667,0,114.333333333333,118.666666666667,138.5,24.1666666666667,"Waltham 29","High Mowing","",1950,"early",NA,NA,0.436795,8e-06,0.563189,8e-06,"Calabrese.LR","#d95f02",9.924105,7.3601727,-8.384231,-5.5449877,1.1739852
"81","B192_HKT723_B4_Premium_Crop_F1","B192.Premium.Crop","B192","italica","F1",",","y","y","y","y","n",41.148,76.6656666666667,2,6.5,637.15,111.683333333333,17.7615250979201,1.62666666666667,3.83333333333333,3.66666666666667,73.8833333333333,34.5166666666667,17.45,4.5,2.16666666666667,2.33333333333333,4,3.16666666666667,0,101.666666666667,109.333333333333,115.833333333333,14.1666666666667,"Premium Crop","Takii","",1975,"unk",NA,NA,0.988307,8e-06,0.011676,8e-06,"Calabrese.F1","#1b9e77",13.124358,0.8276118,0.53325564,-10.062194,8.78468
"82","B193_HKT723_B5_TBR_130_UNK","B193.TBR130","B193","italica","F1",",","y","y","y","y","n",52.1123333333333,84.0316666666667,2.66666666666667,0.5,502.533333333333,141.416666666667,28.0953131817034,1.57733333333333,3.5,4.33333333333333,80.25,40.3,20.61,4.83333333333333,2.5,3.16666666666667,3.83333333333333,3.5,0,101.333333333333,118.5,122,20.6666666666667,"TBR 130","Tainong","",2018,"unk",NA,NA,0.999976,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.405462,-5.2955394,7.5443587,1.5028107,0.50609416
"83","B194_HKT723_B6_Corato_F1","B194.Corato","B194","italica","F1",",","y","y","y","y","n",38.2693333333333,78.74,2.33333333333333,1.33333333333333,615.4,188.05,30.5137303378546,1.44333333333333,3.66666666666667,4.33333333333333,76.85,34.2,24.4666666666667,4.5,3.33333333333333,3.16666666666667,3.83333333333333,3.66666666666667,0,111.166666666667,124,129.833333333333,18.6666666666667,"Corato","Enza-Zaden","",2013,"unk",NA,NA,0.999976,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.589882,-4.6327963,7.933118,0.9387375,2.702149
"84","B195_HKT723_B7_Belstar_F1","B195.Belstar","B195","italica","F1",",","y","y","y","y","n",33.6973333333333,72.9826666666667,3.5,1.83333333333333,649.8,135.716666666667,21.1980224301207,1.47333333333333,3.66666666666667,4.66666666666667,69.3,32.5833333333333,19.7166666666667,4.83333333333333,3.33333333333333,3.5,4,3.16666666666667,0,120.5,135,146.833333333333,26.3333333333333,"Belstar","Bejo","",2000,"unk",NA,NA,0.999976,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.807224,-5.0698647,9.11891,5.3916855,-3.107915
"85","B196_HKT723_B8_Power_Dome_F1","B196.Power.Dome","B196","italica","F1",",","y","y","y","y","n",36.6183333333333,74.7183333333333,2.5,7.16666666666667,424.45,126.283333333333,30.1454982520977,1.57333333333333,2.5,3.66666666666667,72.25,34.3833333333333,19.2666666666667,2.66666666666667,2.33333333333333,2.16666666666667,2.16666666666667,2.16666666666667,0,95.6666666666667,120.6,126.5,28.75,"Power Dome","Tainong","",2011,"unk",NA,NA,0.999976,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",12.797049,-6.0133142,4.2059445,-5.1276865,8.330359
"86","B198_HKT723_B10_Fiesta_F1","B198.Fiesta","B198","italica","F1",",","y","y","y","y","n",36.7453333333333,60.198,2.83333333333333,12.8333333333333,584.633333333333,126.733333333333,22.0154126002245,1.4,3.33333333333333,4.83333333333333,60.4833333333333,28.0666666666667,18.7666666666667,4.5,2.66666666666667,3,4,3,0,120.166666666667,132.166666666667,146.666666666667,26.5,"Fiesta","Bejo","",1994,"unk",NA,NA,0.999976,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.946625,-5.8116503,10.217139,9.65004,-6.4800277
"87","B200_HKT723_B12_Blue_Wind_F1","B200.Blue.Wind","B200","italica","F1",",","y","y","y","y","n",32.6813333333333,63.0343333333333,2.83333333333333,3.5,468.666666666667,126.8,27.1375712457385,1.09,3,4.5,73.5333333333333,35.85,20.5333333333333,4.5,2.66666666666667,2.83333333333333,3.16666666666667,2.66666666666667,0,89.6666666666667,102.833333333333,107.5,17.8333333333333,"Blue Wind","Johnnys","",NA,"unk",NA,NA,0.858113,8e-06,0.141871,8e-06,"Calabrese.F1","#1b9e77",11.867132,0.7691752,-1.1635667,-7.3810916,4.751113
"88","B203_HKT723_C3_Calabrese_OP","B203.Calabrese","B203","italica","LR",",","y","y","y","y","n",34.5863333333333,67.183,3.5,13.6666666666667,508.883333333333,38.55,8.09352657300907,2.41,2.16666666666667,2,42.2333333333333,19.3666666666667,12.7333333333333,4.33333333333333,2.16666666666667,2.66666666666667,3.33333333333333,2,0,116.333333333333,131.75,145.75,26.5,"Calabrese","SSE","",1916,"unk",NA,NA,0.215682,8e-06,0.506164,0.278146,"Calabrese.LR","#d95f02",-3.7230928,10.569105,-4.2328463,-1.7151484,2.7645426
"89","B204_HKT723_C4_Cavolo_Broccoli_Ramoso_Calabrese_OP","B204.Cavolo.Broccoli.Ramoso.Calabrese","B204","italica","LR",",","y","y","y","y","n",40.9786666666667,58.9703333333333,4.83333333333333,13,330.716666666667,35,11.382191371462,1.64333333333333,2.83333333333333,1.66666666666667,30.6,14.3333333333333,11.0833333333333,3.83333333333333,2,2,3.16666666666667,1.83333333333333,0,116.166666666667,121.666666666667,149.166666666667,33,"Cavolo Broccoli Ramoso Calabrese","Franchi/SoI","",NA,"unk",NA,NA,0.481003,8e-06,0.518982,8e-06,"Calabrese.LR","#d95f02",9.919259,6.4139576,-7.9065757,-5.4503083,1.433702
"90","B205_HKT723_C5_Cavolo_Broccoli_Ramoso_Calabrese_OP","B205.Cavolo.Broccoli.Ramoso.Calabrese","B205","italica","LR",",","y","y","y","y","n",56.5573333333333,76.8773333333333,4.33333333333333,14.5,499.583333333333,38.45,7.67852891798339,2.03,3,2.33333333333333,37.1833333333333,16.5666666666667,11.3,4,2.5,2.66666666666667,3.5,2,0,108.666666666667,115,134.2,25.2,"Cavolo Broccoli Ramoso Calabrese","Franchi/SoI","",NA,"unk",NA,NA,0.480096,8e-06,0.519889,8e-06,"Calabrese.LR","#d95f02",10.2907295,7.2762575,-7.24408,-5.046224,0.89810896
"91","B206_HKT723_C6_Covina_F1","B206.Covina","B206","italica","F1",",","y","y","y","y","n",57.1923333333333,69.0033333333333,2.83333333333333,2.66666666666667,700.883333333333,168.133333333333,24.5680947035112,1.38,4.5,5,79.6333333333333,40.2166666666667,23.3333333333333,5,3.33333333333333,4.33333333333333,4.66666666666667,4.33333333333333,0,110.833333333333,127.833333333333,134.5,23.6666666666667,"Covina","Bejo","",NA,"unk",NA,NA,0.999976,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.083004,-6.650752,8.935278,6.2980375,-2.4429464
"92","B210_HKT723_C10_Cavolfiore_Romanesco_Precoce_OP","B210.Cavolfiore.Romanesco.Precoce","B210","italica","LR",",","y","y","n","n","n",47.7943333333333,73.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cavolfiore Romanesco Precoce","Franchi/SoI","",NA,"unk",NA,NA,0.145895,0.22965,0.104848,0.519607,"Sprouting.Broccoli","#e7298a",-20.847914,1.2776971,-0.15432666,1.966759,4.213332
